name,listeners
G-Eazy,1644
Ritviz,1637
50 Cent,1637
Måneskin,1629
Trippie Redd,1628
Harrdy Sandhu,1627
Vishal Bhardwaj,1625
Beyonc�,1622
Metallica,1621
dhruv,1619
Men I Trust,1616
Yuvan Shankar Raja,1609
Gesaffelstein,1601
Akon,1599
meet bros.,1598
Elvis Presley,1595
Karun,1594
yung kai,1594
Artemas,1571
Farhan Akhtar,1560
Fujii Kaze,1558
Mohammed Rafi,1555
Lil Yachty,1555
Flo Rida,1552
Mika Singh,1541
Seventeen,1536
My Chemical Romance,1532
aespa,1530
Keane,1527
The Rish,1526
Zeeshan Ali,1524
Labrinth,1521
Divine,1518
Oasis,1510
Rex Orange County,1507
IU,1506
Led Zeppelin,1497
Phoebe Bridgers,1495
Guns N' Roses,1495
Black Eyed Peas,1482
Mamta Sharma,1475
Anand Raj Anand,1473
Miguel,1471
AC/DC,1469
Offset,1465
Sukhwinder Singh,1462
Surf Curse,1454
S. P. Balasubrahmanyam,1446
Santhosh Narayanan,1444
Bob Dylan,1442
Matt Maltese,1438
Martin Garrix,1433
JID,1431
Melanie Martinez,1425
Muse,1425
fakemink,1423
wolf.cryman,1418
Chris Grey,1413
Thaman S,1401
Ash King,1398
Sam Smith,1387
keshi,1386
G. V. Prakash,1386
Jordana,1386
Miley Cyrus,1383
HUNTR/X,1381
Devi Sri Prasad,1380
Wajid,1379
2hollis,1377
Lil Peep,1367
MGMT,1365
Demi Lovato,1361
James Arthur,1360
Jubin Nautiyal,1356
Benson Boone,1347
Faye Webster,1346
Isabel LaRosa,1344
WizTheMc,1344
LIFAFA,1341
Her's,1337
Dhanji,1335
Cheema Y,1334
Wiz Khalifa,1330
Dhanda Nyoliwala,1329
Ram Sampath,1320
Hans Zimmer,1319
Ruth B.,1309
Exo,1304
Zedd,1295
Psy,1294
Sajid-Wajid,1292
LNGSHOT,1290
Sean Kingston,1290
Cage the Elephant,1288
Usher,1287
System of a Down,1286
Nelly Furtado,1286
Lizzy McAlpine,1281
Ali Zafar,1280
Elton John,1275
Magdalena Bay,1272
Mukesh,1270
Mohammed Irfan,1268
Eagles,1266
Vance Joy,1262
HanuMankind,1259
Noah Kahan,1253
Nusrat Fateh Ali Khan,1251
Flipperachi,1249
Cocteau Twins,1248
Fall Out Boy,1247
Sports,1241
Gym Class Heroes,1236
Frankie Valli,1225
Kodak Black,1223
Panic! at the Disco,1211
maanu,1209
HWASA,1204
DHIBU NINAN THOMAS,1204
Roddy Ricch,1202
Karthik,1201
Falak Shabbir,1196
Bryson Tiller,1194
Mitta Ror,1194
Imogen Heap,1188
Anu Malik,1185
The Smashing Pumpkins,1184
Backstreet Boys,1182
Shaarib Toshi,1182
Nicki Minaj,1180
Frappe Ash,1177
Lucky Ali,1176
The Notorious B.I.G.,1175
JPEGMAFIA,1174
Sabat Batin,1169
Kehlani,1168
ARJN,1167
The Killers,1166
blackbear,1153
Prince,1152
SOSOCAMO,1150
Cafuné,1148
Kesha,1147
NF,1144
Chief Keef,1144
Denzel Curry,1143
Amrinder Gill,1140
The Script,1134
John Lennon,1125
2Pac,1124
Hemant Kumar,1123
Weezer,1116
Panchiko,1114
Snow Strippers,1112
Black Sabbath,1112
Pixies,1110
Rochak Kohli,1108
Madonna,1103
Kenshi Yonezu,1102
Ashish Bhatia,1102
Peter Cat Recording Co.,1100
Adrianne Lenker,1093
Blood Orange,1088
Sasha Alex Sloan,1082
Sushin Shyam,1079
YOASOBI,1070
RADWIMPS,1061
Red Velvet,1060
Fetty Wap,1060
Kygo,1060
FloyyMenor,1058
Bazzi,1058
MF DOOM,1054
John Mayer,1045
Jeremy Zucker,1043
Imran Khan,1043
M83,1043
Talha Anjum,1037
Massive Attack,1034
Givēon,1031
Cults,1029
Mariah Carey,1027
DJ Khaled,1023
Elliott Smith,1022
IVE,1020
ZXKAI,1020
The Rare Occasions,1019
MAX,1018
Disco Lines,1016
Ikka,1015
i-dle,1013
Timbaland,1009
Cardi B,1007
Tarun Sagar,1007
Marina,1006
Current Joys,1001
King Von,1000
The Rolling Stones,1000
Ndee Kundu,999
mikeeysmind,998
Alex G,997
Carly Rae Jepsen,997
ATEEZ,996
Destroy Lonely,994
Alice in Chains,993
Evanescence,992
Zack Knight,988
Slipknot,987
Kumar Sanu,986
Satinder Sartaaj,982
Aurora,982
Clipse,979
J Balvin,975
The Lumineers,971
Odetari,964
Skrillex,963
Bilal Saeed,962
Rawal,961
Beach Weather,961
Chris Isaak,960
Bring Me the Horizon,959
Bee Gees,958
Haricharan,957
Billy Idol,957
Karma,955
Monali Thakur,953
Adore,948
Kshitij Tarey,947
Lewis Capaldi,946
bbno$,945
Alan Vuong,941
Powfu,940
Rae Sremmurd,939
Jennifer Lopez,937
Yung Lean,936
Big Thief,931
Hiphop Tamizha,930
Willow,924
mgk,923
Mustafa Zahid,919
Void,916
Bryan Adams,916
Jay Sean,915
Tkandz,915
Niall Horan,913
Jakes Bejoy,913
KAYTRANADA,911
SANAM,911
Harshit Saxena,911
Vikram Sarkar,907
Bibi,904
Steve Aoki,902
Jason Derulo,900
Tom Odell,900
NAV,899
wave to earth,898
Boney M.,896
Rich Amiri,895
Creedence Clearwater Revival,895
Akhil Sachdeva,895
Foo Fighters,882
Swanand Kirkire,882
Sidhu Moose Wala,880
George Michael,879
JACKBOYS,878
Pop Smoke,876
Baggh-e SMG,875
Daddy Yankee,875
Dire Straits,874
Aastha Gill,874
Migos,869
Tommy Richman,868
Bharat Chauhan,864
Avril Lavigne,863
Masoom Sharma,862
Selena Gomez & the Scene,862
Leon Thomas,859
Limp Bizkit,858
Crystal Castles,856
Ilaiyaraaja,853
YE,853
Joey Bada$$,851
Christina Aguilera,849
Little Mix,848
Neeraj Shridhar,848
OaFF,847
The Cardigans,846
Aerosmith,846
Marino,845
Ava Max,845
So!YoON!,844
Dr. Dog,843
Indila,842
Freddie Gibbs,837
Masego,837
JISOO,836
Nessa Barrett,833
UMI,833
Harshdeep Kaur,831
ROSALÍA,830
TAEYANG,829
Michael Bublé,829
ROLE MODEL,827
Mark Ronson,827
XG,825
OutKast,824
YUNGBLUD,822
The Verve,822
Anurag Saikia,822
ITZY,821
Pearl Jam,821
The Mamas & the Papas,821
Modern Talking,820
Gotye,820
Sevdaliza,819
фрози,817
Thee Sacred Souls,816
Alphaville,815
Rakhim,813
Noor Jehan,811
Elliot James Reay,811
Gwen Stefani,811
Arcane,808
Ice Spice,807
Amaarae,807
Rekha Bhardwaj,807
DNCE,805
The Backseat Lovers,802
Jasmine Sandlas,802
Kiss,800
Gucci Mane,800
David Kushner,798
Logic,798
Talat Mahmood,797
Cassie,796
Montell Fish,789
Jonas Blue,789
Why Don't We,787
Bon Jovi,784
SHASHXNK,783
Neha Kakkar,781
Thundercat,779
YEONJUN,778
Bleachers,777
Christina Perri,777
Nas,773
Vichaar,773
Mohan Kannan,773
Bombay Jayashri,771
Summer Walker,770
Lucki,769
Novo Amor,769
wifiskeleton,768
Gopi Sundar,768
Fifth Harmony,768
Tsumyoki,766
Sonder,764
NAKAMA,763
Car Seat Headrest,762
MXZI,762
Dr. Dre,762
"Dream, Ivory",759
Sixpence None the Richer,759
Geese,754
Creepy Nuts,754
Three Days Grace,754
Adnan Sami,754
Internet Money,754
Kiss of Life,753
Tablo,751
t.A.T.u.,748
Meghan Trainor,748
Nujabes,747
Bohemia,747
Elley Duhé,743
King Gnu,742
QMIIR,733
Mike Posner,733
ariis,732
Kunwarr,732
BoyWithUke,730
Fitz and the Tantrums,730
The Vamps,726
24kGoldn,725
A$AP Ferg,725
Daryl Hall & John Oates,724
Darzi,723
Young the Giant,723
Ado,722
Asim Azhar,722
EKKSTACY,722
Sukha,721
Fifty Fifty,721
Divya Kumar,720
The Handsome Family,719
Hailee Steinfeld,719
Bon Iver,718
The Clash,718
Ashe,718
UdieNnx,716
BØRNS,716
Jawsh 685,716
The Yellow Diary,715
FINNEAS,714
Anne-Marie,713
Ben E. King,710
Foster the People,709
Saja Boys,708
Leon James,707
Seafret,707
Eve,706
Young Stoner Life,706
Ajay Gogavale,706
Enrique Iglesias,705
Vijay Prakash,704
Don Omar,704
Naresh Iyer,703
Ghost,702
DaBaby,701
Matthew Ifield,701
