artist,track,listeners,playcount
Frank Ocean,Pink + White,2362442,57229778
Frank Ocean,Thinkin Bout You,2138935,34880182
Frank Ocean,Lost,1937602,31122946
Frank Ocean,Ivy,1809326,41893989
Frank Ocean,White Ferrari,1626306,38308053
Frank Ocean,Nights,1596071,40291394
Frank Ocean,Pyramids,1456477,22669362
Frank Ocean,Novacane,1433790,24945279
Frank Ocean,Chanel,1415828,23694097
Frank Ocean,Super Rich Kids,1369472,18130651
Frank Ocean,Self Control,1297353,31565415
Frank Ocean,Pink Matter,1232189,19560633
Frank Ocean,Godspeed,1180911,17991297
Frank Ocean,In My Room,1156585,19963131
Frank Ocean,Nikes,1151650,20752410
Frank Ocean,Crack Rock,1124478,14652886
Frank Ocean,Sweet Life,1102915,12353586
Frank Ocean,Bad Religion,1082045,13573181
Frank Ocean,Solo,1076555,18077655
Frank Ocean,Sierra Leone,1054902,10941239
Paramore,Misery Business,2635360,35939035
Paramore,Still Into You,1926499,25934212
Paramore,The Only Exception,1861443,23210610
Paramore,All I Wanted,1663146,22385480
Paramore,That's What You Get,1611206,17835618
Paramore,crushcrushcrush,1575281,18649970
Paramore,Decode,1543893,20818646
Paramore,Hard Times,1385748,17861891
Paramore,Ain't It Fun,1373601,14301359
Paramore,Ignorance,1326561,16802094
Paramore,Brick by Boring Brick,1045243,12689294
Paramore,Pressure,941574,9386732
Paramore,Emergency,822840,8088148
Paramore,When It Rains,794734,7838268
Paramore,Playing God,779471,9301590
Paramore,Let the Flames Begin,772644,7711402
Paramore,Fences,772166,7747806
Paramore,Hallelujah,741420,6925171
Paramore,"For a Pessimist, I'm Pretty Optimistic",733312,6736512
Paramore,Born for This,672440,6545863
Justin Bieber,Beauty and a Beat,1493961,13921679
Justin Bieber,Sorry,1486075,12788879
Justin Bieber,Baby,1321341,8441545
Justin Bieber,What Do You Mean?,1245479,10657392
Justin Bieber,Love Yourself,1211612,10419683
Justin Bieber,Boyfriend,1057144,7852527
Justin Bieber,Mistletoe,1031997,5606240
Justin Bieber,Confident,974996,11292063
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),819989,7395047
Justin Bieber,Ghost,802558,10258068
Justin Bieber,Company,737076,6749119
Justin Bieber,One Time,732783,5637173
Justin Bieber,Somebody to Love,663334,4727441
Justin Bieber,DAISIES,618978,5375716
Justin Bieber,As Long as You Love Me,617997,4006126
Justin Bieber,Never Say Never,533967,3463372
Justin Bieber,Hold On,473892,5293726
Justin Bieber,One Less Lonely Girl,466932,3163699
Justin Bieber,Love Me,450079,3451254
Justin Bieber,All That Matters,438631,4167425
Bruno Mars,Locked Out of Heaven,2382549,24239483
Bruno Mars,Just the Way You Are,2120580,18995627
Bruno Mars,Grenade,1819420,16555959
Bruno Mars,When I Was Your Man,1811361,17822401
Bruno Mars,That's What I Like,1788900,16804282
Bruno Mars,Treasure,1516874,12055350
Bruno Mars,Talking to the Moon,1456228,13485878
Bruno Mars,The Lazy Song,1425550,8837607
Bruno Mars,24K Magic,1413822,11098273
Bruno Mars,Marry You,1330929,9803420
Bruno Mars,Leave the Door Open,1280374,12908641
Bruno Mars,It Will Rain,1166987,10459457
Bruno Mars,Runaway Baby,1024250,8686799
Bruno Mars,Smokin Out The Window,876956,9897357
Bruno Mars,Count on Me,796545,5091758
Bruno Mars,After Last Night (with Thundercat & Bootsy Collins),709963,6784695
Bruno Mars,Finesse - Remix; feat. Cardi B,696576,5005168
Bruno Mars,Versace on the Floor,696059,5910637
Bruno Mars,Finesse,631683,4533630
Bruno Mars,Skate,599969,5349298
Don Toliver,No Idea,1167616,15320832
Don Toliver,No Pole,962122,15974148
Don Toliver,After Party,869720,9430318
Don Toliver,BANDIT,731890,10428937
Don Toliver,Cardigan,685198,7691715
Don Toliver,NEW DROP,672415,7973085
Don Toliver,Private Landing (feat. Justin Bieber & Future),649457,7448462
Don Toliver,TORE UP,571088,9877965
Don Toliver,Had Enough (feat. Quavo & Offset),502948,6274400
Don Toliver,You (feat. Travis Scott),482538,6294183
Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis),441921,4994198
Don Toliver,Embarrassed (feat. Travis Scott),404644,5005089
Don Toliver,Tiramisu,369917,2601333
Don Toliver,BROTHER STONE (FEAT. KODAK BLACK),361865,3659864
Don Toliver,Lose My Mind (feat. Doja Cat) [From F1® The Movie],323965,3087813
Don Toliver,Flocky Flocky (feat. Travis Scott),316871,3412498
Don Toliver,KRYPTONITE,312225,3465367
Don Toliver,ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),288227,2634516
Don Toliver,Euphoria (feat. Travis Scott & Kaash Paige),280596,2694997
Don Toliver,What You Need,268802,2800362
Doja Cat,Kiss Me More (feat. SZA),1835729,27907812
Doja Cat,Woman,1661551,24591357
Doja Cat,Streets,1444827,21592964
Doja Cat,Need to Know,1414743,22809460
Doja Cat,Say So,1310158,14888573
Doja Cat,Paint the Town Red,1253788,16659989
Doja Cat,You Right,1252595,16866184
Doja Cat,Ain't Shit,1125468,14678177
Doja Cat,Agora Hills,1111747,20168858
Doja Cat,Get Into It (Yuh),1029686,14399920
Doja Cat,Boss Bitch,1003486,12175758
Doja Cat,So High,964829,11936104
Doja Cat,Rules,888441,11985472
Doja Cat,Candy,883966,9347349
Doja Cat,Tia Tamera (feat. Rico Nasty),784748,8713539
Doja Cat,Like That (feat. Gucci Mane),781403,8138060
Doja Cat,Juicy,732950,8203238
Doja Cat,Freak,659472,5699397
Doja Cat,Been Like This,658703,8883967
Doja Cat,Cyber Sex,652755,7121880
Chappell Roan,"Good Luck, Babe!",2007394,57057595
Chappell Roan,HOT TO GO!,1542777,32041135
Chappell Roan,Pink Pony Club,1453436,25534714
Chappell Roan,Red Wine Supernova,1279313,30631680
Chappell Roan,Casual,1252090,28542552
Chappell Roan,Femininomenon,1067709,19091922
Chappell Roan,My Kink Is Karma,990352,19119199
Chappell Roan,The Subway,890937,15314985
Chappell Roan,Naked in Manhattan,855618,14267326
Chappell Roan,Picture You,843308,12532393
Chappell Roan,Super Graphic Ultra Modern Girl,840045,13417297
Chappell Roan,After Midnight,808511,12112154
Chappell Roan,The Giver,642782,7163539
Chappell Roan,Coffee,618417,5838675
Chappell Roan,Kaleidoscope,591628,5957296
Chappell Roan,California,579538,6090083
Chappell Roan,Guilty Pleasure,505383,4932178
Chappell Roan,Love Me Anyway,450174,3564279
Chappell Roan,School Nights,209365,838378
Chappell Roan,Good Hurt,161688,564696
The Marías,No One Noticed,1476835,30340497
The Marías,Sienna,1079321,17426907
The Marías,Heavy,942908,15122893
The Marías,Only in My Dreams,760904,7880308
The Marías,No One Noticed (Extended Spanish),739076,6905524
The Marías,Run Your Mouth,729146,7973725
The Marías,Cariño,723869,8858131
The Marías,Nobody New,701066,7685157
The Marías,Paranoia,680576,7112736
The Marías,Back To Me,674531,8493536
The Marías,Lejos de Ti,634729,6115240
The Marías,Over the Moon,619280,6939090
The Marías,Real Life,615671,5133976
The Marías,Love You Anyway,557141,4533896
The Marías,I Don't Know You,553470,5156518
The Marías,No One Noticed (Extended English),540260,4641737
The Marías,All I Really Want Is You,495252,4288928
The Marías,Hush,471368,3617495
The Marías,Spin Me Around,380286,2544705
The Marías,Ay No Puedo,374608,3041354
Gorillaz,Feel Good Inc.,3154446,37904894
Gorillaz,Clint Eastwood,2583155,22084028
Gorillaz,On Melancholy Hill,2226695,26734240
Gorillaz,DARE,2148996,19331358
Gorillaz,Rhinestone Eyes,1781620,18322871
Gorillaz,Dirty Harry,1601197,11923654
Gorillaz,Kids with Guns,1432078,10133325
Gorillaz,19-2000,1236159,8592401
Gorillaz,She's My Collar (feat. Kali Uchis),1211591,14205234
Gorillaz,November Has Come,1127683,7402796
Gorillaz,O Green World,1112466,6940390
Gorillaz,Last Living Souls,1011267,5717041
Gorillaz,Tomorrow Comes Today,988571,6559705
Gorillaz,Every Planet We Reach Is Dead,940929,5419574
Gorillaz,Empire Ants (feat. Little Dragon),898964,8942373
Gorillaz,Feel Good Inc,867236,6455923
Gorillaz,All Alone,858172,4755030
